Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Latvia,LVA,..,1599.72217,1885.26039,1886.88729,1772.65341,1854.32652,1808.60341,1596.54272,1784.63705,1792.10447,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Lesotho,LSO,..,..,5.93875,..,..,..,24.1134,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Lithuania,LTU,..,2220.83311,2721.0196,2634.32583,2843.86431,3054.01621,2785.58468,2950.27923,3071.96071,3190.70248,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Luxembourg,LUX,..,3773.4205,5451.36114,4352.17017,4614.21778,4741.07149,4480.00056,4667.99249,4960.21355,4941.70411,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Macao SAR, China",MAC,..,..,610.53098,736.65119,913.27602,1031.46687,1276.89058,2648.29416,3227.40402,3543.20632,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Madagascar,MDG,..,15.22185,50.86468,..,..,..,..,24.70438,30.62121,34.04118,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Malaysia,MYS,..,276.90906,1648.88372,1790.69463,..,2054.16733,2307.9544,2396.53998,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Mali,MLI,..,..,..,..,..,..,30.84218,..,32.86062,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Malta,MLT,..,..,1785.91093,1986.68118,1886.6552,1831.71896,1891.32275,2054.58877,2130.46288,1946.50858,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Mauritius,MUS,..,..,..,181.81267,..,..,..,..,..,473.85267,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Mexico,MEX,..,224.75263,344.22852,248.08539,251.79954,260.18938,281.32423,315.2625,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Moldova,MDA,..,..,777.34742,768.64793,737.28776,746.80204,758.22053,725.74132,723.88211,696.07769,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Montenegro,MNE,..,..,649.79929,..,645.01193,671.83174,834.61997,715.80706,702.71829,734.29976,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Morocco,MAR,..,..,845.40676,850.27811,..,1024.35348,..,1073.54029,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Mozambique,MOZ,..,..,..,..,..,..,42.96538,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Myanmar,MMR,..,..,..,..,..,..,..,..,29.07319,..,..,..
