Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kyrgyz Republic,KGZ,..,3.50838994979858,6.79061985015869,7.38423013687134,6.78020000457764,5.53159999847412,5.98550987243652,6.58615016937256,6.02618980407715,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lao PDR,LAO,..,1.50369000434875,1.70801997184753,1.82147002220154,3.23380994796753,2.93780994415283,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latvia,LVA,..,5.29064989089966,4.93298006057739,6.58249998092651,6.98040008544922,5.27489995956421,5.31412982940674,4.71298980712891,4.39711999893188,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lebanon,LBN,..,..,1.65251994132996,2.14808988571167,2.43245005607605,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lesotho,LSO,..,10.0915498733521,..,..,..,..,..,..,7.96331977844238,6.98518991470337,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Liberia,LBR,..,..,..,1.77711999416351,1.73466002941132,2.27909994125366,..,..,2.76128005981445,2.58412003517151,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Liechtenstein,LIE,..,..,2.55604004859924,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lithuania,LTU,..,..,5.1270899772644,4.76922988891602,4.60949993133545,4.49105978012085,4.22988986968994,4.00394010543823,3.81282997131348,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Luxembourg,LUX,..,..,..,4.09041023254395,..,4.00789022445679,3.91820001602173,..,3.56959009170532,..,..,..
